fuente,dpto_ccdgo,tipo_id,columna,v,ptgf_column,kx2f_column,numero,v_kx2f,tipo_kx2f,rel
ptgf,50,credito_consumo,generomontomcdc,204326005793.77997,generomontomcdc,_42_monto_cr_dito_consumo,42,208284249125.81,credito_consumo,0.01937219551007601
ptgf,66,credito_consumo,generomontomcdc,244952461677.89,generomontomcdc,_42_monto_cr_dito_consumo,42,251107719032.82,credito_consumo,0.025128375166215286
ptgf,76,credito_consumo,generomontomcdc,1251580573701.9502,generomontomcdc,_42_monto_cr_dito_consumo,42,1235156085525.12,credito_consumo,0.013122997050241357
ptgf,85,credito_consumo,generomontomcdc,70718956103.37,generomontomcdc,_42_monto_cr_dito_consumo,42,71050198103.37,credito_consumo,0.004683920949226444
ptgf,11,credito_consumo,generonrohcdc,9652474.0,generonrohcdc,_43_nro_cr_dito_consumo,43,9661329.0,credito_consumo,0.0009173813884398963
ptgf,27,credito_consumo,generonrohcdc,2558.0,generonrohcdc,_43_nro_cr_dito_consumo,43,2558.0,credito_consumo,0.0
ptgf,54,credito_consumo,generonrohcdc,104257.0,generonrohcdc,_43_nro_cr_dito_consumo,43,104729.0,credito_consumo,0.0045272739480322665
ptgf,88,credito_consumo,generonrohcdc,17745.0,generonrohcdc,_43_nro_cr_dito_consumo,43,17745.0,credito_consumo,0.0
ptgf,94,credito_consumo,generonrohcdc,160.0,generonrohcdc,_43_nro_cr_dito_consumo,43,160.0,credito_consumo,0.0
ptgf,95,credito_consumo,generonrohcdc,1012.0,generonrohcdc,_43_nro_cr_dito_consumo,43,1012.0,credito_consumo,0.0
ptgf,17,cuentas_ahorro,generonromca,554074.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,554077.0,cuentas_ahorro,5.414439226529308e-06
ptgf,20,cuentas_ahorro,generonromca,450126.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,450127.0,cuentas_ahorro,2.2216001741734537e-06
ptgf,50,cuentas_ahorro,generonromca,586829.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,586829.0,cuentas_ahorro,0.0
ptgf,52,cuentas_ahorro,generonromca,656727.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,656731.0,cuentas_ahorro,6.09081094579635e-06
ptgf,63,cuentas_ahorro,generonromca,356115.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,356115.0,cuentas_ahorro,0.0
ptgf,76,cuentas_ahorro,generonromca,3278925.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,3278894.0,cuentas_ahorro,9.45431810730651e-06
ptgf,86,cuentas_ahorro,generonromca,125126.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,125129.0,cuentas_ahorro,2.3975832360980132e-05
ptgf,94,cuentas_ahorro,generonromca,9135.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,9135.0,cuentas_ahorro,0.0
ptgf,95,cuentas_ahorro,generonromca,34749.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,34749.0,cuentas_ahorro,0.0
ptgf,97,cuentas_ahorro,generonromca,5538.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,5537.0,cuentas_ahorro,0.00018057060310581438
ptgf,99,cuentas_ahorro,generonromca,15459.0,generonromca,_27_nro_ctas_ahorro_mujeres,27,15459.0,cuentas_ahorro,0.0
ptgf,08,cuentas_ahorro,generosaldohca,1662982494555.9302,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,1663116242766.8801,cuentas_ahorro,8.042671007530134e-05
ptgf,11,cuentas_ahorro,generosaldohca,15884005752876.781,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,15879594417119.557,cuentas_ahorro,0.00027772186851705616
ptgf,27,cuentas_ahorro,generosaldohca,154428475867.31998,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,154428360917.8,cuentas_ahorro,7.44354429087124e-07
ptgf,41,cuentas_ahorro,generosaldohca,586512518274.59,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,586511313904.0502,cuentas_ahorro,2.053443877613993e-06
ptgf,70,cuentas_ahorro,generosaldohca,285142966472.5,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,285141864732.61,cuentas_ahorro,3.863815768083844e-06
ptgf,73,cuentas_ahorro,generosaldohca,905709973880.3701,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,905710534113.25,cuentas_ahorro,6.185565976297952e-07
ptgf,91,cuentas_ahorro,generosaldohca,22672417655.69,generosaldohca,_30_saldo_ctas_ahorro_hombres,30,22672436413.69,cuentas_ahorro,8.273489084783327e-07
ptgf,50,cuentas_ahorro,saldo3y5smmlv,69973446801.5,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,70134730763.12,cuentas_ahorro,0.002304930927263365
ptgf,52,cuentas_ahorro,saldo3y5smmlv,74280072297.80998,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,74496837436.65001,cuentas_ahorro,0.002918213891485641
ptgf,63,cuentas_ahorro,saldo3y5smmlv,50047819569.45001,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,50081106800.55,cuentas_ahorro,0.0006651085179405078
ptgf,76,cuentas_ahorro,saldo3y5smmlv,413608668216.5201,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,410830152296.6001,cuentas_ahorro,0.006717741027771345
ptgf,86,cuentas_ahorro,saldo3y5smmlv,14574300521.439999,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,14660564417.439999,cuentas_ahorro,0.005918904709910345
ptgf,94,cuentas_ahorro,saldo3y5smmlv,1129261071.14,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,1156776351.1399999,cuentas_ahorro,0.02436573853752243
ptgf,95,cuentas_ahorro,saldo3y5smmlv,4263237965.7200003,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,4291858959.7200003,cuentas_ahorro,0.006713440401435889
ptgf,97,cuentas_ahorro,saldo3y5smmlv,462451019.44,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,476477372.44,cuentas_ahorro,0.030330461844337717
ptgf,99,cuentas_ahorro,saldo3y5smmlv,1798867291.02,saldo3y5smmlv,_24_saldo_ctas_ahorr_3smmlv,24,1811980259.02,cuentas_ahorro,0.007289569422636308
ptgf,25,cuentas_ahorro,saldoactivasca,5436708791911.581,saldoactivasca,_26_saldo_ctas_ahorro_activas,26,5437129654442.301,cuentas_ahorro,7.741126972735073e-05
ptgf,47,cuentas_ahorro,saldoactivasca,1683891391632.7498,saldoactivasca,_26_saldo_ctas_ahorro_activas,26,1683508417949.7197,cuentas_ahorro,0.00022743371985451327
ptgf,54,cuentas_ahorro,saldoactivasca,3054132102513.9097,saldoactivasca,_26_saldo_ctas_ahorro_activas,26,3053451388741.71,cuentas_ahorro,0.0002228828843517933
ptgf,81,cuentas_ahorro,saldoactivasca,432003171003.5499,saldoactivasca,_26_saldo_ctas_ahorro_activas,26,432126692030.58997,cuentas_ahorro,0.0002859262045533088
ptgf,88,cuentas_ahorro,saldoactivasca,418139433730.83997,saldoactivasca,_26_saldo_ctas_ahorro_activas,26,418164245487.99994,cuentas_ahorro,5.933847697307758e-05
ptgf,25,cuentas_ahorro,totalnroca,3556420.0,totalnroca,_31_nro_ctas_ahorro,31,3555998.0,cuentas_ahorro,0.00011865865111544756
ptgf,47,cuentas_ahorro,totalnroca,1092957.0,totalnroca,_31_nro_ctas_ahorro,31,1092957.0,cuentas_ahorro,0.0
ptgf,54,cuentas_ahorro,totalnroca,1549934.0,totalnroca,_31_nro_ctas_ahorro,31,1549934.0,cuentas_ahorro,0.0
ptgf,81,cuentas_ahorro,totalnroca,265446.0,totalnroca,_31_nro_ctas_ahorro,31,265446.0,cuentas_ahorro,0.0
ptgf,88,cuentas_ahorro,totalnroca,148058.0,totalnroca,_31_nro_ctas_ahorro,31,148058.0,cuentas_ahorro,0.0
ptgf,08,microcredito,generonrommicro,8520.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,7790.0,microcredito,0.08568075117370892
ptgf,11,microcredito,generonrommicro,19378.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,17928.0,microcredito,0.07482712354216121
ptgf,13,microcredito,generonrommicro,11855.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,11855.0,microcredito,0.0
ptgf,15,microcredito,generonrommicro,9762.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,9762.0,microcredito,0.0
ptgf,17,microcredito,generonrommicro,3152.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,3152.0,microcredito,0.0
ptgf,18,microcredito,generonrommicro,2297.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,2297.0,microcredito,0.0
ptgf,19,microcredito,generonrommicro,8362.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,8362.0,microcredito,0.0
ptgf,52,microcredito,generonrommicro,13841.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,12322.0,microcredito,0.10974640560653132
ptgf,88,microcredito,generonrommicro,87.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,87.0,microcredito,0.0
ptgf,91,microcredito,generonrommicro,81.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,81.0,microcredito,0.0
ptgf,99,microcredito,generonrommicro,29.0,generonrommicro,_71_nro_microcr_dito_mujeres,71,29.0,microcredito,0.0
ptgf,23,microcredito,totalmontomicro,46828963818.37,totalmontomicro,_76_monto_microcr_dito,76,44114242136.37,microcredito,0.057970996166587664
ptgf,25,microcredito,totalmontomicro,127088962272.89,totalmontomicro,_76_monto_microcr_dito,76,120619868424.89,microcredito,0.050902090412142394
ptgf,44,microcredito,totalmontomicro,15586688122.2,totalmontomicro,_76_monto_microcr_dito,76,15219296122.2,microcredito,0.02357088286617645
ptgf,47,microcredito,totalmontomicro,45343085775.53,totalmontomicro,_76_monto_microcr_dito,76,43867799775.53,microcredito,0.03253607412833288
ptgf,66,microcredito,totalmontomicro,35022932634.17,totalmontomicro,_76_monto_microcr_dito,76,34037135634.170002,microcredito,0.028147186025141907
